.model_id,.model_desc,.key,.index,.value,date,page_views,page_views_lag28,page_views_lag28_roll_28,page_views_lag28_roll_56,page_views_lag28_roll_84,date_sin28_K1,date_cos28_K1,date_sin56_K1,date_cos56_K1,date_sin84_K1,date_cos84_K1,id
NA,ACTUAL,actual,2022-11-27,199,2022-11-27,199,214,279.4642857142857,280.5892857142857,275.6216216216216,0.6234898018582806,0.781831482468391,0.33027906195489365,0.9438833303084633,0.22252093395612613,0.9749279121818666,1
NA,ACTUAL,actual,2022-11-28,314,2022-11-28,314,309,279.2857142857143,280.01785714285717,276.35616438356163,0.7818314824680883,0.6234898018586602,0.4338837391176004,0.9009688679023987,0.2947551744106444,0.9555728057862208,1
NA,ACTUAL,actual,2022-11-29,333,2022-11-29,333,343,279.7857142857143,280.67857142857144,276.90277777777777,0.9009688679023573,0.43388373911768646,0.5320320765152763,0.8467241992283221,0.36534102436628024,0.9308737486442493,1
NA,ACTUAL,actual,2022-11-30,315,2022-11-30,315,333,278.5357142857143,281.375,277.28169014084506,0.9749279121817394,0.22252093395668357,0.6234898018585855,0.7818314824681478,0.4338837391173761,0.9009688679025067,1
NA,ACTUAL,actual,2022-12-01,380,2022-12-01,380,334,279.60714285714283,282.5357142857143,277.8285714285714,1,6.14928057311755e-13,0.7071067811863301,0.707106781186765,0.4999999999997569,0.866025403784579,1
NA,ACTUAL,actual,2022-12-02,232,2022-12-02,232,242,278,282.1272727272727,278.768115942029,0.9749279121818106,-0.22252093395637124,0.781831482468048,0.6234898018587107,0.5633200580635129,0.8262387743160693,1
NA,ACTUAL,actual,2022-12-03,212,2022-12-03,212,143,278.7857142857143,284.1666666666667,281.1029411764706,0.9009688679024963,-0.43388373911739775,0.8467241992282368,0.532032076515412,0.6234898018585687,0.7818314824681613,1
NA,ACTUAL,actual,2022-12-04,281,2022-12-04,281,219,276.85714285714283,285.50943396226415,282.089552238806,0.7818314824682882,-0.6234898018584096,0.9009688679023293,0.4338837391177447,0.6801727377707071,0.7330518718300233,1
NA,ACTUAL,actual,2022-12-05,315,2022-12-05,315,406,279.2142857142857,283.75,282.6666666666667,0.623489801858531,-0.7818314824681913,0.9438833303084103,0.3302790619550448,0.7330518718297303,0.6801727377710228,1
NA,ACTUAL,actual,2022-12-06,380,2022-12-06,380,271,276.42857142857144,281.70588235294116,282.5846153846154,0.43388373911753764,-0.900968867902429,0.9749279121818262,0.22252093395630332,0.7818314824678928,0.6234898018589053,1
NA,ACTUAL,actual,2022-12-07,359,2022-12-07,359,300,273.9642857142857,279.28,281.125,0.22252093395652256,-0.9749279121817761,0.9937122098932306,0.11196447610341395,0.8262387743158267,0.5633200580638688,1
