page,query,country,date,country_name,clicks,impressions,ctr,position
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a summary statistics table in r,usa,2020-08-30,United States,0,3,0,3.6666666666666665
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a summary statistics table in r,usa,2020-08-31,United States,0,2,0,3
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a summary statistics table in r,usa,2020-09-01,United States,0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a summary statistics table in r,usa,2020-09-02,United States,0,2,0,3
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a summary statistics table in r,usa,2020-09-03,United States,0,1,0,3
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a summary table in r,aus,2020-09-02,Australia,0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a summary table in r,aus,2020-09-03,Australia,0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a summary table in r,ita,2020-09-02,Italy,0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a summary table in r,usa,2020-09-02,United States,0,1,0,3
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a summary table in r,usa,2020-09-03,United States,0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a table in rstudio,pak,2020-09-03,Pakistan,0,1,0,24
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a table of summary statistics in r,bra,2020-08-31,Brazil,0,1,0,3
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a table of summary statistics in r,usa,2020-08-31,United States,0,2,0,3
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to present descriptive statistics in a table,tha,2020-09-03,Thailand,0,1,0,3
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to present descriptive statistics in a table,tur,2020-09-03,Turkey,0,1,0,1
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to present descriptive statistics in a table,usa,2020-08-31,United States,0,1,0,5
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to present descriptive statistics in a table,zaf,2020-08-30,South Africa,0,1,0,3
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to present descriptive statistics in a table,zaf,2020-08-31,South Africa,0,1,0,3
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to save summary statistics in r,gbr,2020-09-01,United Kingdom,0,1,0,8
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to save summary statistics in r,grc,2020-09-02,Greece,0,1,0,7
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to save summary statistics in r,hkg,2020-08-30,Hong Kong,0,1,0,9
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to save summary statistics in r,ind,2020-09-03,India,0,1,0,8
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to save summary statistics in r,nzl,2020-09-02,New Zealand,0,1,0,7
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to save summary statistics in r,swe,2020-09-01,Sweden,0,1,0,8
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to save summary statistics in r,usa,2020-08-31,United States,0,1,0,5
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to save summary statistics in r,zaf,2020-08-31,South Africa,0,1,0,7
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,magic table statistics,ind,2020-08-30,India,0,1,0,2
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,median r studio,dnk,2020-09-03,Denmark,0,1,0,73
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,qwraps2,usa,2020-09-03,United States,0,1,0,38
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r basic statistics,usa,2020-09-03,United States,0,1,0,101
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r code summary statistics,usa,2020-08-31,United States,0,2,0,11
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r create summary table,usa,2020-09-02,United States,0,1,0,6
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r create table,deu,2020-08-30,Germany,0,1,0,89
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r create table,usa,2020-08-31,United States,0,1,0,73
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r create table,ven,2020-09-02,"Venezuela, Bolivarian Republic of",0,1,0,79
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r create table from data frame,col,2020-08-30,Colombia,0,1,0,86
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r create table from data frame,usa,2020-08-30,United States,0,1,0,90
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r data frame statistics,kor,2020-09-02,"Korea, Republic of",0,1,0,59
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r data.table summary statistics,chn,2020-08-30,China,0,1,0,7
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r demographics table,esp,2020-08-30,Spain,0,1,0,8
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r demographics table,gbr,2020-09-04,United Kingdom,0,1,0,7
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics,cyp,2020-08-30,Cyprus,0,1,0,54
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics,egy,2020-09-02,Egypt,0,1,0,56
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics,phl,2020-08-30,Philippines,0,1,0,78
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics,prt,2020-09-03,Portugal,0,1,0,11
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics,pry,2020-09-02,Paraguay,0,1,0,83
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics,twn,2020-09-01,"Taiwan, Province of China",0,1,0,12
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics by group,mar,2020-08-31,Morocco,0,1,0,45
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics by group,usa,2020-09-03,United States,0,1,0,49
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,arg,2020-09-04,Argentina,0,1,0,6
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,aus,2020-09-01,Australia,0,1,0,5
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,bel,2020-09-01,Belgium,0,1,0,5
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,che,2020-09-03,Switzerland,0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,col,2020-08-30,Colombia,0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,deu,2020-08-30,Germany,0,2,0,5
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,deu,2020-09-02,Germany,0,3,0,5.333333333333333
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,dnk,2020-09-03,Denmark,0,1,0,6
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,gbr,2020-08-30,United Kingdom,0,2,0,6
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,gbr,2020-08-31,United Kingdom,0,1,0,6
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,gbr,2020-09-04,United Kingdom,0,1,0,6
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,kor,2020-09-02,"Korea, Republic of",0,1,0,5
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,kor,2020-09-04,"Korea, Republic of",0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,nld,2020-08-31,Netherlands,0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,nor,2020-09-01,Norway,0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,usa,2020-09-01,United States,0,1,0,6
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,usa,2020-09-02,United States,0,1,0,6
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,zaf,2020-08-31,South Africa,0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive statistics table,zzz,2020-09-03,Unknown Region,0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r descriptive words,usa,2020-09-04,United States,0,1,0,56
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r export summary table,can,2020-09-01,Canada,0,1,0,9
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r export summary table,fra,2020-08-30,France,0,1,0,8
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r export summary table,fra,2020-08-31,France,0,1,0,9
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r export summary table,gbr,2020-08-30,United Kingdom,0,1,0,8
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r export summary table,swe,2020-08-30,Sweden,0,1,0,9
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r export summary table,usa,2020-08-31,United States,0,1,0,8
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r export summary table,usa,2020-09-03,United States,0,1,0,11
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r export summary table,zaf,2020-08-31,South Africa,0,1,0,8
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r group by,can,2020-09-04,Canada,0,1,0,84
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r group by,gbr,2020-09-01,United Kingdom,0,1,0,87
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r group by,vnm,2020-08-31,Viet Nam,0,1,0,91
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r markdown summary statistics table,fra,2020-08-31,France,0,1,0,8
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r markdown summary statistics table,gbr,2020-08-30,United Kingdom,0,1,0,7
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r markdown summary statistics table,usa,2020-08-30,United States,0,1,0,6
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r markdown summary statistics table,usa,2020-09-01,United States,0,1,0,6
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r markdown summary statistics table,usa,2020-09-03,United States,0,1,0,6
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r stats package,usa,2020-08-30,United States,0,1,0,76
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r stats package,usa,2020-09-01,United States,0,1,0,64
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,r studio average,usa,2020-09-04,United States,0,2,0,70.5
